,대회날짜,대회명,선수이름,챔피언,스펠1,스펠2,승/패,킬,데스,어시,KDA,킬관여율
50,17.10.29,2017 LoL World Championship 4강 2경기 2세트, SSG CuVee,나르,순간이동,점멸,승,6,1,3,9,82%
51,17.10.29,2017 LoL World Championship 4강 2경기 2세트, SSG Ambition,그라가스,강타,점멸,승,1,1,7,8,73%
52,17.10.29,2017 LoL World Championship 4강 2경기 2세트, SSG Crown,말자하,점멸,순간이동,승,2,1,6,8,73%
53,17.10.29,2017 LoL World Championship 4강 2경기 2세트, SSG Ruler,바루스,점멸,방어막,승,2,2,5,3.5,64%
54,17.10.29,2017 LoL World Championship 4강 2경기 2세트, SSG CoreJJ,잔나,점멸,회복,승,0,2,8,4,73%
55,17.10.29,2017 LoL World Championship 4강 2경기 2세트, WE 957,럼블,점멸,순간이동,패,2,2,4,3,86%
56,17.10.29,2017 LoL World Championship 4강 2경기 2세트, WE Condi,자르반 4세,점멸,강타,패,0,3,7,2.3,100%
57,17.10.29,2017 LoL World Championship 4강 2경기 2세트, WE xiye,갈리오,순간이동,점멸,패,3,1,3,6,86%
58,17.10.29,2017 LoL World Championship 4강 2경기 2세트, WE Mystic,트위치,방어막,점멸,패,1,3,3,1.3,57%
59,17.10.29,2017 LoL World Championship 4강 2경기 2세트, WE Ben,타릭,점멸,회복,패,1,2,5,3,86%
60,17.10.29,2017 LoL World Championship 4강 2경기 1세트, SSG Crown,탈리야,점멸,회복,패,0,2,1,0.5,100%
61,17.10.29,2017 LoL World Championship 4강 2경기 1세트, SSG Ruler,트리스타나,점멸,방어막,패,0,1,0,0,0%
62,17.10.29,2017 LoL World Championship 4강 2경기 1세트, SSG CoreJJ,타릭,점멸,회복,패,0,1,1,1,100%
63,17.10.29,2017 LoL World Championship 4강 2경기 1세트, WE 957,쉔,점멸,순간이동,승,5,0,3,9.6,57%
64,17.10.29,2017 LoL World Championship 4강 2경기 1세트, WE Condi,그라가스,점멸,강타,승,1,0,8,10.8,64%
65,17.10.29,2017 LoL World Championship 4강 2경기 1세트, WE xiye,카사딘,순간이동,점멸,승,3,0,7,12,71%
66,17.10.29,2017 LoL World Championship 4강 2경기 1세트, WE Mystic,자야,회복,점멸,승,3,0,7,12,71%
67,17.10.29,2017 LoL World Championship 4강 2경기 1세트, WE Ben,라칸,점멸,점화,승,2,1,7,9,64%
68,17.10.29,2017 LoL World Championship 4강 2경기 1세트, SSG CuVee,케넨,순간이동,점멸,패,0,6,1,0.2,100%
69,17.10.29,2017 LoL World Championship 4강 2경기 1세트, SSG Ambition,자르반 4세,강타,점멸,패,1,4,0,0.3,100%
70,17.10.28,2017 LoL World Championship 4강 1경기 5세트, RNG Letme,쉔,순간이동,점멸,패,0,2,0,0,0%
71,17.10.28,2017 LoL World Championship 4강 1경기 5세트, RNG Mlxg,리 신,점멸,강타,패,0,3,1,0.3,100%
72,17.10.28,2017 LoL World Championship 4강 1경기 5세트, RNG Xiaohu,코르키,점멸,순간이동,패,1,2,0,0.5,100%
73,17.10.28,2017 LoL World Championship 4강 1경기 5세트, RNG Uzi,트리스타나,회복,점멸,패,0,1,0,0,0%
74,17.10.28,2017 LoL World Championship 4강 1경기 5세트, RNG Ming,타릭,점화,점멸,패,0,2,0,0,0%
75,17.10.28,2017 LoL World Championship 4강 1경기 5세트, SKT T1 Huni,나르,순간이동,점멸,승,1,1,5,6,60%
76,17.10.28,2017 LoL World Championship 4강 1경기 5세트, SKT T1 Peanut,자르반 4세,점멸,강타,승,6,0,3,10.8,90%
77,17.10.28,2017 LoL World Championship 4강 1경기 5세트, SKT T1 Faker,갈리오,순간이동,점멸,승,1,0,7,9.6,80%
78,17.10.28,2017 LoL World Championship 4강 1경기 5세트, SKT T1 Bang,케이틀린,방어막,점멸,승,2,0,4,7.2,60%
79,17.10.28,2017 LoL World Championship 4강 1경기 5세트, SKT T1 Wolf,룰루,회복,점멸,승,0,0,9,10.8,90%
80,17.10.28,2017 LoL World Championship 4강 1경기 4세트, SKT T1 Huni,나르,순간이동,점멸,승,1,1,4,5,56%
81,17.10.28,2017 LoL World Championship 4강 1경기 4세트, SKT T1 Peanut,그라가스,점멸,강타,승,0,2,5,2.5,56%
82,17.10.28,2017 LoL World Championship 4강 1경기 4세트, SKT T1 Faker,갈리오,순간이동,점멸,승,3,1,4,7,78%
83,17.10.28,2017 LoL World Championship 4강 1경기 4세트, SKT T1 Bang,코그모,방어막,점멸,승,4,1,4,8,89%
84,17.10.28,2017 LoL World Championship 4강 1경기 4세트, SKT T1 Wolf,룰루,회복,점멸,승,1,1,7,8,89%
85,17.10.28,2017 LoL World Championship 4강 1경기 4세트, RNG Letme,럼블,순간이동,점멸,패,1,2,2,1.5,50%
86,17.10.28,2017 LoL World Championship 4강 1경기 4세트, RNG Mlxg,자르반 4세,점멸,강타,패,0,1,5,5,83%
87,17.10.28,2017 LoL World Championship 4강 1경기 4세트, RNG Xiaohu,라이즈,점멸,회복,패,2,2,3,2.5,83%
88,17.10.28,2017 LoL World Championship 4강 1경기 4세트, RNG Uzi,트위치,방어막,점멸,패,3,2,2,2.5,83%
89,17.10.28,2017 LoL World Championship 4강 1경기 4세트, RNG Ming,소라카,회복,점멸,패,0,2,5,2.5,83%
90,17.10.28,2017 LoL World Championship 4강 1경기 3세트, RNG Letme,마오카이,순간이동,점멸,승,1,1,3,4,33%
91,17.10.28,2017 LoL World Championship 4강 1경기 3세트, RNG Mlxg,세주아니,점멸,강타,승,1,1,1,11,92%
92,17.10.28,2017 LoL World Championship 4강 1경기 3세트, RNG Xiaohu,라이즈,점멸,회복,승,3,2,6,4.5,75%
93,17.10.28,2017 LoL World Championship 4강 1경기 3세트, RNG Uzi,베인,방어막,점멸,승,6,0,3,10.8,75%
94,17.10.28,2017 LoL World Championship 4강 1경기 3세트, RNG Ming,타릭,회복,점멸,승,1,0,9,12,83%
95,17.10.28,2017 LoL World Championship 4강 1경기 3세트, SKT T1 Huni,카밀,순간이동,점멸,패,0,1,0,0,0%
96,17.10.28,2017 LoL World Championship 4강 1경기 3세트, SKT T1 Blank,자크,강타,점멸,패,2,3,1,1,100%
97,17.10.28,2017 LoL World Championship 4강 1경기 3세트, SKT T1 Faker,갈리오,순간이동,점멸,패,0,5,3,0.6,100%
98,17.10.28,2017 LoL World Championship 4강 1경기 3세트, SKT T1 Bang,트리스타나,방어막,점멸,패,1,2,0,0.5,33%
99,17.10.28,2017 LoL World Championship 4강 1경기 3세트, SKT T1 Wolf,룰루,회복,점멸,패,0,1,1,1,33%
100,17.10.28,2017 LoL World Championship 4강 1경기 2세트,RNG Ming,라칸,회복,점멸,패,0,4,2,0.5,25%
101,17.10.28,2017 LoL World Championship 4강 1경기 2세트,RNG Uzi,트위치,정화,점멸,패,2,1,2,4,50%
102,17.10.28,2017 LoL World Championship 4강 1경기 2세트,RNG Xiaohu,말자하,점멸,순간이동,패,1,1,5,6,75%
