,대회날짜,대회명,선수이름,챔피언,스펠1,스펠2,승/패,킬,데스,어시,KDA,킬관여율
10721,16.06.15,2016 코카콜라 제로 롤챔스 코리아 섬머 19일차 1경기 2세트,CJ Kramer,진,회복,점멸,패,4,2,7,5.5,85%
10722,16.06.15,2016 코카콜라 제로 롤챔스 코리아 섬머 19일차 1경기 2세트,CJ Bdd,카시오페아,점멸,정화,패,2,3,4,2,46%
10723,16.06.15,2016 코카콜라 제로 롤챔스 코리아 섬머 19일차 1경기 2세트,CJ Haru,엘리스,강타,점멸,패,4,3,5,3,69%
10724,16.06.15,2016 코카콜라 제로 롤챔스 코리아 섬머 19일차 1경기 2세트,CJ Untara,트런들,점멸,순간이동,패,2,6,7,1.5,69%
10725,16.06.15,2016 코카콜라 제로 롤챔스 코리아 섬머 19일차 1경기 1세트,CJ MadLife,나미,점멸,탈진,승,0,1,2,20,83%
10726,16.06.15,2016 코카콜라 제로 롤챔스 코리아 섬머 19일차 1경기 1세트,CJ Kramer,진,회복,점멸,승,5,1,1,17,71%
10727,16.06.15,2016 코카콜라 제로 롤챔스 코리아 섬머 19일차 1경기 1세트,CJ Bdd,카시오페아,점멸,점화,승,1,0,7,22.8,79%
10728,16.06.15,2016 코카콜라 제로 롤챔스 코리아 섬머 19일차 1경기 1세트,CJ Haru,헤카림,강타,유체화,승,3,3,1,5.7,71%
10729,16.06.15,2016 코카콜라 제로 롤챔스 코리아 섬머 19일차 1경기 1세트,CJ Untara,쉔,점멸,순간이동,승,4,1,1,19,79%
10730,16.06.15,2016 코카콜라 제로 롤챔스 코리아 섬머 19일차 1경기 1세트,ROX GorillA,바드,점화,점멸,패,0,6,4,0.7,67%
10731,16.06.15,2016 코카콜라 제로 롤챔스 코리아 섬머 19일차 1경기 1세트,ROX Pray,시비르,회복,점멸,패,2,5,3,1,83%
10732,16.06.15,2016 코카콜라 제로 롤챔스 코리아 섬머 19일차 1경기 1세트,ROX kuro,블라디미르,점멸,유체화,패,1,4,4,1.3,83%
10733,16.06.15,2016 코카콜라 제로 롤챔스 코리아 섬머 19일차 1경기 1세트,ROX Peanut,킨드레드,점멸,강타,패,1,6,1,0.3,33%
10734,16.06.15,2016 코카콜라 제로 롤챔스 코리아 섬머 19일차 1경기 1세트,ROX Smeb,럼블,순간이동,점멸,패,2,3,2,1.3,67%
10735,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 2세트,Jin Air Chei,나미,점멸,점화,승,0,2,5,2.5,45%
10736,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 2세트,Jin Air Pilot,시비르,회복,점멸,승,3,2,3,3,55%
10737,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 2세트,Jin Air Kuzan,아지르,정화,점멸,승,5,1,3,8,73%
10738,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 2세트,Jin Air Winged,엘리스,강타,점멸,승,3,2,6,4.5,82%
10739,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 2세트,Jin Air TrAce,에코,순간이동,점멸,승,0,5,2,0.4,18%
10740,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 2세트,Afreeca SnowFlower,카르마,점화,점멸,패,0,2,7,3.5,58%
10741,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 2세트,Afreeca Sangyoon,애쉬,점멸,회복,패,0,2,1,5,83%
10742,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 2세트,Afreeca Mickey,트위스티드 페이트,순간이동,점멸,패,6,3,2,2.7,67%
10743,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 2세트,Afreeca lira,리 신,강타,점멸,패,3,2,3,3,50%
10744,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 2세트,Afreeca ikssu,트런들,순간이동,점멸,패,3,2,8,5.5,92%
10745,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 1세트,Afreeca SnowFlower,바드,점화,점멸,패,0,4,3,0.8,50%
10746,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 1세트,Afreeca Sangyoon,시비르,점멸,회복,패,1,2,3,2,67%
10747,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 1세트,Afreeca Mickey,빅토르,탈진,점멸,패,0,3,5,1.7,83%
10748,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 1세트,Afreeca lira,렉사이,강타,점멸,패,4,2,2,3,100%
10749,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 1세트,Afreeca ikssu,그라가스,순간이동,점멸,패,1,0,5,7.2,100%
10750,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 1세트,Jin Air Chei,카르마,점멸,점화,승,0,2,8,4,73%
10751,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 1세트,Jin Air Pilot,이즈리얼,회복,점멸,승,6,1,2,8,73%
10752,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 1세트,Jin Air Kuzan,르블랑,순간이동,점멸,승,2,1,4,6,55%
10753,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 1세트,Jin Air Winged,그레이브즈,강타,점멸,승,2,0,6,9.6,73%
10754,16.06.14,2016 코카콜라 제로 롤챔스 코리아 섬머 18일차 1경기 1세트,Jin Air TrAce,쉔,순간이동,점멸,승,1,2,7,4,73%
10755,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 2세트,SKT T1 Wolf,나미,탈진,점멸,승,0,1,9,9,69%
10756,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 2세트,SKT T1 Bang,칼리스타,회복,점멸,승,4,3,4,2.7,62%
10757,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 2세트,SKT T1 Faker,애니비아,유체화,점멸,승,1,0,7,9.6,62%
10758,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 2세트,SKT T1 Blank,엘리스,강타,점멸,승,2,0,5,8.4,54%
10759,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 2세트,SKT T1 Duke,이렐리아,순간이동,점멸,승,6,1,4,10,77%
10760,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 2세트,MVP Max,브라움,점멸,점화,패,0,1,4,4,80%
10761,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 2세트,MVP MaHa,시비르,점멸,회복,패,4,2,0,2,80%
10762,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 2세트,MVP Ian,블라디미르,유체화,점멸,패,0,2,0,0,0%
10763,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 2세트,MVP Beyond,그라가스,강타,점멸,패,0,2,3,1.5,60%
10764,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 2세트,MVP ADD,에코,순간이동,점멸,패,1,6,3,0.7,80%
10765,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 1세트,MVP Max,나미,점멸,점화,패,0,2,0,0,0%
10766,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 1세트,MVP MaHa,애쉬,점멸,회복,패,0,4,0,0,0%
10767,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 1세트,MVP Ian,바루스,유체화,점멸,패,0,4,0,0,0%
10768,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 1세트,MVP Beyond,그레이브즈,강타,점멸,패,0,3,0,0,0%
10769,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 1세트,MVP ADD,이렐리아,순간이동,점멸,패,0,5,0,0,0%
10770,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 1세트,SKT T1 Wolf,알리스타,점화,점멸,승,1,0,8,10.8,50%
10771,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 1세트,SKT T1 Bang,시비르,회복,점멸,승,4,0,4,9.6,44%
10772,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 1세트,SKT T1 Faker,카르마,순간이동,점멸,승,5,0,7,14.4,67%
10773,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 1세트,SKT T1 Blank,엘리스,강타,점멸,승,5,0,6,13.2,61%
10774,16.06.13,2016 코카콜라 제로 롤챔스 코리아 섬머 17일차 1경기 1세트,SKT T1 Duke,트런들,순간이동,점멸,승,3,0,7,12,56%
10775,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 2세트,SKT T1 wolf,나미,탈진,점멸,승,0,2,1,6.5,72%
10776,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 2세트,SKT T1 Bang,애쉬,회복,점멸,승,6,0,6,14.4,67%
10777,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 2세트,SKT T1 Faker,카르마,순간이동,점멸,승,4,1,8,12,67%
10778,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 2세트,SKT T1 bengi,렉사이,강타,점멸,승,3,2,1,7,78%
10779,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 2세트,SKT T1 Duke,에코,순간이동,점멸,승,5,1,6,11,61%
10780,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 2세트,SSG Wraith,브라움,점화,점멸,패,0,4,4,1,67%
10781,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 2세트,SSG Ruler,이즈리얼,점멸,회복,패,2,5,1,0.6,50%
10782,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 2세트,SSG Crown,빅토르,점멸,정화,패,2,2,1,1.5,50%
10783,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 2세트,SSG Ambition,엘리스,강타,점멸,패,2,3,3,1.7,83%
10784,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 2세트,SSG CuVee,피오라,순간이동,점멸,패,0,4,1,0.3,17%
10785,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 1세트,SSG Wraith,브라움,점화,점멸,패,0,2,2,1,50%
10786,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 1세트,SSG Ruler,이즈리얼,점멸,회복,패,2,2,1,1.5,75%
10787,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 1세트,SSG Crown,바루스,점멸,정화,패,2,3,1,1,75%
10788,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 1세트,SSG Ambition,엘리스,강타,점멸,패,0,4,3,0.8,75%
10789,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 1세트,SSG CuVee,에코,순간이동,점멸,패,0,3,0,0,0%
10790,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 1세트,SKT T1 Wolf,나미,탈진,점멸,승,0,1,1,14,100%
10791,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 1세트,SKT T1 Bang,진,회복,점멸,승,3,0,8,13.2,79%
10792,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 1세트,SKT T1 Faker,카르마,순간이동,점멸,승,7,1,4,11,79%
10793,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 1세트,SKT T1 bengi,킨드레드,강타,점멸,승,4,1,6,10,71%
10794,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 2경기 1세트,SKT T1 Duke,마오카이,순간이동,점멸,승,0,1,9,9,64%
10795,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 2세트,MVP Max,카르마,점멸,점화,승,1,1,1,12,67%
10796,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 2세트,MVP MaHa,애쉬,점멸,회복,승,5,0,7,14.4,67%
10797,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 2세트,MVP Ian,바루스,유체화,점멸,승,7,2,5,6,67%
10798,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 2세트,MVP Beyond,그라가스,강타,점멸,승,2,2,7,4.5,50%
10799,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 2세트,MVP ADD,에코,순간이동,점멸,승,3,0,1,15.6,72%
10800,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 2세트,Ever Totoro,바드,탈진,점멸,패,0,4,5,1.3,100%
10801,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 2세트,Ever LokeN,시비르,회복,점멸,패,0,3,4,1.3,80%
10802,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 2세트,Ever Tempt,아지르,정화,점멸,패,3,5,1,0.8,80%
10803,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 2세트,Ever Bless,엘리스,강타,점멸,패,2,3,2,1.3,80%
10804,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 2세트,Ever Crazy,트런들,순간이동,점멸,패,0,3,2,0.7,40%
10805,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 1세트,Ever Totoro,브라움,탈진,점멸,패,2,3,4,2,100%
10806,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 1세트,Ever LokeN,이즈리얼,회복,점멸,패,3,1,1,4,67%
10807,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 1세트,Ever Tempt,빅토르,회복,점멸,패,0,2,3,1.5,50%
10808,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 1세트,Ever Bless,킨드레드,강타,점멸,패,1,3,4,1.7,83%
10809,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 1세트,Ever Crazy,트런들,순간이동,점멸,패,0,2,2,1,33%
10810,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 1세트,MVP Max,카르마,점멸,점화,승,1,2,8,4.5,82%
10811,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 1세트,MVP MaHa,루시안,점멸,회복,승,2,0,5,8.4,64%
10812,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 1세트,MVP Ian,아지르,회복,점멸,승,4,1,4,8,73%
10813,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 1세트,MVP Beyond,니달리,강타,점멸,승,4,2,7,5.5,100%
10814,16.06.11,2016 코카콜라 제로 롤챔스 코리아 섬머 16일차 1경기 1세트,MVP ADD,마오카이,순간이동,점멸,승,0,1,8,8,73%
10815,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 2세트,KT Hachani,카르마,점멸,점화,승,2,3,1,4,71%
10816,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 2세트,KT Arrow,루시안,점멸,회복,승,9,1,5,14,82%
10817,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 2세트,KT Fly,빅토르,정화,점멸,승,3,1,6,9,53%
10818,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 2세트,KT Score,렉사이,강타,점멸,승,1,0,1,18,88%
10819,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 2세트,KT ssumday,마오카이,순간이동,점멸,승,2,2,8,5,59%
10820,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 2세트,Afreeca SnowFlower,소라카,탈진,점멸,패,0,4,5,1.3,71%
10821,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 2세트,Afreeca Sangyoon,이즈리얼,점멸,회복,패,3,3,3,2,86%
10822,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 2세트,Afreeca Mickey,바루스,회복,점멸,패,1,4,3,1,57%
10823,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 2세트,Afreeca lira,엘리스,강타,점멸,패,0,3,5,1.7,71%
10824,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 2세트,Afreeca ikssu,에코,순간이동,점멸,패,3,3,0,1,43%
10825,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 1세트,Afreeca SnowFlower,브라움,탈진,점멸,패,2,4,7,2.3,90%
10826,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 1세트,Afreeca Sangyoon,애쉬,점멸,회복,패,1,5,5,1.2,60%
10827,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 1세트,Afreeca Mickey,아지르,탈진,점멸,패,3,5,6,1.8,90%
10828,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 1세트,Afreeca lira,니달리,강타,점멸,패,2,4,6,2,80%
10829,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 1세트,Afreeca ikssu,마오카이,순간이동,점멸,패,2,3,6,2.7,80%
10830,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 1세트,KT Hachani,카르마,점멸,점화,승,1,5,1,2.8,67%
10831,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 1세트,KT Arrow,루시안,점멸,회복,승,3,2,1,8.5,81%
10832,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 1세트,KT Fly,라이즈,순간이동,점멸,승,4,1,1,14,67%
10833,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 1세트,KT Score,엘리스,강타,점멸,승,5,1,1,19,90%
10834,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 2경기 1세트,KT ssumday,피즈,순간이동,점멸,승,8,1,8,16,76%
10835,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 2세트,CJ MadLife,나미,점멸,탈진,패,0,0,2,2.4,67%
10836,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 2세트,CJ Kramer,징크스,회복,점멸,패,2,2,0,1,67%
10837,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 2세트,CJ Bdd,카르마,점멸,순간이동,패,0,1,2,2,67%
10838,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 2세트,CJ Haru,그레이브즈,강타,점멸,패,1,0,2,3.6,100%
10839,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 2세트,CJ Untara,트런들,점멸,순간이동,패,0,0,1,1.2,33%
10840,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 2세트,Jin Air Chei,브라움,점멸,점화,승,0,0,2,2.4,67%
10841,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 2세트,Jin Air Pilot,시비르,회복,점멸,승,2,1,1,3,100%
10842,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 2세트,Jin Air Kuzan,르블랑,순간이동,점멸,승,1,1,1,2,67%
10843,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 2세트,Jin Air Winged,엘리스,강타,점멸,승,0,0,1,1.2,33%
10844,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 2세트,Jin Air TrAce,마오카이,순간이동,점멸,승,0,1,2,2,67%
10845,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 1세트,Jin Air Chei,카르마,점멸,점화,승,1,0,7,9.6,80%
10846,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 1세트,Jin Air Pilot,이즈리얼,회복,점멸,승,3,2,5,4,80%
10847,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 1세트,Jin Air Kuzan,블라디미르,유체화,점멸,승,3,0,7,12,100%
10848,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 1세트,Jin Air Winged,렉사이,강타,점멸,승,0,2,8,4,80%
10849,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 1세트,Jin Air TrAce,에코,순간이동,점멸,승,3,0,5,9.6,80%
10850,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 1세트,CJ MadLife,브라움,점멸,탈진,패,0,2,3,1.5,75%
10851,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 1세트,CJ Kramer,시비르,회복,점멸,패,1,2,1,1,50%
10852,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 1세트,CJ Bdd,빅토르,점멸,점화,패,0,2,3,1.5,75%
10853,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 1세트,CJ Haru,그레이브즈,강타,점멸,패,2,3,1,1,75%
10854,16.06.10,2016 코카콜라 제로 롤챔스 코리아 섬머 15일차 1경기 1세트,CJ Untara,마오카이,점멸,순간이동,패,1,1,1,2,50%
10855,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 2세트,Ever Totoro,브라움,점화,점멸,패,0,5,1,0.2,50%
10856,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 2세트,Ever LokeN,케이틀린,회복,점멸,패,1,2,0,0.5,50%
10857,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 2세트,Ever Tempt,피즈,순간이동,점멸,패,0,2,0,0,0%
10858,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 2세트,Ever Bless,엘리스,강타,점멸,패,1,4,1,0.5,100%
10859,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 2세트,Ever Crazy,트런들,순간이동,점멸,패,0,0,0,0,0%
10860,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 2세트,Longzhu Pure,바드,점멸,점화,승,2,1,8,10,77%
10861,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 2세트,Longzhu Fury,루시안,점멸,회복,승,4,0,6,12,77%
10862,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 2세트,Longzhu CoCo,트위스티드 페이트,탈진,점멸,승,1,0,1,13.2,85%
10863,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 2세트,Longzhu Chaser,렉사이,강타,점멸,승,4,1,6,10,77%
10864,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 2세트,Longzhu Expession,스웨인,순간이동,점멸,승,2,0,5,8.4,54%
10865,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 1세트,Longzhu Pure,브라움,점멸,탈진,승,0,0,8,9.6,50%
10866,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 1세트,Longzhu Fury,시비르,점멸,회복,승,4,0,8,14.4,75%
10867,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 1세트,Longzhu CoCo,빅토르,유체화,점멸,승,7,0,6,15.6,81%
10868,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 1세트,Longzhu Chaser,렉사이,강타,점멸,승,3,1,1,14,88%
10869,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 1세트,Longzhu Expession,스웨인,순간이동,점멸,승,2,0,1,14.4,75%
10870,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 1세트,Ever KeY,바드,점멸,탈진,패,0,3,1,0.3,100%
10871,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 1세트,Ever LokeN,케이틀린,회복,점멸,패,0,4,0,0,0%
10872,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 1세트,Ever Tempt,블라디미르,유체화,점멸,패,0,1,0,0,0%
10873,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 1세트,Ever Bless,엘리스,강타,점멸,패,1,5,0,0.2,100%
10874,16.06.09,2016 코카콜라 제로 롤챔스 코리아 섬머 14일차 1경기 1세트,Ever Crazy,에코,순간이동,점멸,패,0,3,0,0,0%
10875,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 2세트,SSG Wraith,브라움,점화,점멸,승,1,3,1,5.3,94%
10876,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 2세트,SSG Ruler,이즈리얼,점멸,회복,승,8,1,7,15,88%
10877,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 2세트,SSG Crown,빅토르,점멸,유체화,승,1,4,8,2.3,53%
10878,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 2세트,SSG Ambition,그레이브즈,강타,점멸,승,3,3,1,4.7,82%
10879,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 2세트,SSG CuVee,에코,순간이동,점멸,승,4,2,9,6.5,76%
10880,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 2세트,Jin Air Chei,카르마,점멸,탈진,패,0,3,1,4,92%
10881,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 2세트,Jin Air Pilot,루시안,회복,점멸,패,6,4,2,2,62%
10882,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 2세트,Jin Air Kuzan,블라디미르,유체화,점멸,패,5,3,5,3.3,77%
10883,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 2세트,Jin Air Winged,렉사이,강타,점멸,패,1,2,4,2.5,38%
10884,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 2세트,Jin Air TrAce,마오카이,순간이동,점멸,패,1,5,7,1.6,62%
10885,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 1세트,Jin Air Chei,나미,점멸,탈진,패,0,2,1,0.5,50%
10886,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 1세트,Jin Air Pilot,시비르,회복,점멸,패,0,1,1,1,50%
10887,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 1세트,Jin Air Blanc,빅토르,정화,점멸,패,0,1,0,0,0%
10888,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 1세트,Jin Air Winged,니달리,강타,점멸,패,0,1,1,1,50%
10889,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 1세트,Jin Air TrAce,에코,순간이동,점멸,패,2,4,0,0.5,100%
10890,16.06.08,2016 코카콜라 제로 롤챔스 코리아 섬머 13일차 1경기 1세트,SSG Wraith,브라움,점화,점멸,승,0,0,7,8.4,78%
